소환사명,티어,LP,레벨,승률
adeline fan acc,Platinum 1,100 LP,31,41%
umxaslmp,Platinum 1,100 LP,32,59%
20pulluppergame,Platinum 1,78 LP,32,47%
yusigum,Diamond 4,87 LP,33,50%
IICruncyWMIII,Diamond 4,1 LP,33,86%
top diff victim1,Diamond 4,16 LP,34,67%
Not WinnabIe,Diamond 4,0 LP,34,57%
LXST CXNTURΥ,Diamond 4,92 LP,34,77%
GGO Desu Gan,Platinum 1,86 LP,34,66%
Faylennastin,Diamond 4,1 LP,34,75%
weak egg,Diamond 4,28 LP,34,47%
fkin inter,Platinum 1,100 LP,34,67%
RosamariaJesu,Platinum 1,92 LP,35,68%
yMyRiZKerr,Platinum 1,100 LP,35,73%
SAUROOOOOOOOOOON,Platinum 1,90 LP,35,72%
iidmhxp,Diamond 4,0 LP,35,68%
Scriabin abuser,Diamond 4,29 LP,35,78%
pxexuirda,Platinum 1,100 LP,35,68%
M Huncho Birds,Platinum 1,80 LP,35,78%
TUEUR DE JUIF,Platinum 1,100 LP,35,71%
xjsjm,Platinum 1,100 LP,35,72%
cat collector,Diamond 4,0 LP,36,67%
BanditosBurritos,Platinum 1,100 LP,36,62%
viking matyáš,Platinum 1,100 LP,36,72%
Sora Riku Kairi,Platinum 1,77 LP,36,69%
JestemKotem,Platinum 1,100 LP,36,64%
Jecaetutu,Platinum 1,99 LP,36,66%
SILENCEE WHO,Diamond 4,1 LP,36,74%
sugar pIum,Platinum 1,100 LP,36,66%
supp gap hehe,Diamond 4,92 LP,36,74%
animegirl1,Diamond 4,1 LP,36,65%
RÐC,Diamond 4,1 LP,36,77%
päikkärit,Platinum 1,90 LP,36,71%
CHINA ANYPERCENT,Platinum 1,90 LP,36,69%
N0giz0n3,Platinum 1,100 LP,36,72%
Skoanzil,Platinum 1,84 LP,36,69%
wx zhao6582123ad,Platinum 1,90 LP,36,72%
pipounn,Platinum 1,78 LP,37,72%
Rebidsa,Platinum 1,100 LP,37,57%
I am not Türkish,Platinum 1,90 LP,37,58%
dRyLLeo,Platinum 1,100 LP,37,60%
King Rammus V,Platinum 1,100 LP,37,65%
Rias Megami,Platinum 1,100 LP,37,73%
Me Bad MEntal,Platinum 1,85 LP,37,67%
Jeg Keder Mig XD,Platinum 1,92 LP,37,89%
Tumorcio,Diamond 3,1 LP,37,58%
Riås Gremôry,Platinum 1,100 LP,37,63%
IIlIIllllIIIIIll,Diamond 4,75 LP,37,58%
TwitchTv lolasta,Diamond 4,59 LP,37,62%
Korrupnot,Diamond 4,59 LP,37,60%
SCP 0988,Diamond 4,24 LP,37,66%
dmforéloboost,Diamond 4,2 LP,37,63%
Whíterοse,Diamond 4,1 LP,37,63%
ougbua,Diamond 4,1 LP,37,68%
CEO of piss,Platinum 1,100 LP,37,65%
SKT T1 HYZENN,Diamond 4,1 LP,37,62%
soft heart,Platinum 1,100 LP,37,63%
coingen,Platinum 1,100 LP,37,68%
opous,Diamond 4,0 LP,37,78%
Sharοn99,Diamond 4,0 LP,37,68%
Hage99,Diamond 4,0 LP,37,68%
Cuda na kiju,Platinum 1,100 LP,38,62%
Inarmillitan,Diamond 4,63 LP,38,58%
eXzer,Platinum 1,100 LP,38,61%
viper3zz,Diamond 4,45 LP,38,80%
Dynasty001,Platinum 1,100 LP,38,66%
Pian PANINO,Diamond 4,1 LP,38,62%
Shim Chi Buffoon,Platinum 1,100 LP,38,61%
Carreneet,Platinum 1,90 LP,38,62%
Budget Kireii,Platinum 1,90 LP,38,65%
Kanaken Raus,Diamond 4,0 LP,38,64%
geilomoi,Diamond 4,1 LP,38,70%
Higennont,Diamond 4,0 LP,38,56%
Vxnøm,Platinum 1,100 LP,38,53%
TheEdenPrοject,Diamond 4,1 LP,38,65%
lIlIIllIlIlIl,Platinum 1,100 LP,38,58%
