소환사명,티어,LP,레벨,승률,아이템1,아이템2,아이템3
1 or 6,Grandmaster,639 LP,37,60%,무라마나,요우무의 유령검,톱날 단검
1 or 6,Grandmaster,639 LP,37,60%,불멸의 철갑궁,열정의 검,도란의 검
1 or 6,Grandmaster,639 LP,37,60%,무라마나,자객의 발톱,도란의 검
qwer1234asdf,Master,367 LP,35,67%,도란의 검,롱소드,무한의 대검
qwer1234asdf,Master,367 LP,35,67%,망가진 초시계,탐식의 망치,악마의 마법서
qwer1234asdf,Master,367 LP,35,67%,곡괭이,충전형 물약,추적자의 팔목 보호대
ARODBAEP,Master,246 LP,34,68%,도란의 검,충전형 물약,정수 약탈자
smukakukuka,Master,242 LP,34,69%,타곤 산의 방패,강철의 솔라리 펜던트,제어 와드
ARODBAEP,Master,246 LP,34,68%,타곤 산의 방패,슈렐리아의 군가,제어 와드
smukakukuka,Master,242 LP,34,69%,헤르메스의 발걸음,선혈포식자,제어 와드
ARODBAEP,Master,246 LP,34,68%,도란의 검,선혈포식자,탐식의 망치
smukakukuka,Master,242 LP,34,69%,스테락의 도전,발걸음 분쇄기,제어 와드
asdqwezxc,Master,210 LP,35,59%,판금 장화,죽음의 무도,제어 와드
exec cosmoflips,Master,205 LP,34,67%,크라켄 학살자,곡궁,제어 와드
asdqwezxc,Master,210 LP,35,59%,도란의 검,최후의 속삭임,제어 와드
exec cosmoflips,Master,205 LP,34,67%,고속 연사포,크라켄 학살자,곡괭이
asdqwezxc,Master,210 LP,35,59%,망가진 초시계,광전사의 군화,제어 와드
exec cosmoflips,Master,205 LP,34,67%,망가진 초시계,무라마나,삼위일체
bot01,Diamond 1,100 LP,38,66%,도란의 검,불멸의 철갑궁,단검
bot01,Diamond 1,100 LP,38,66%,무한의 대검,수호 천사,유령 무희
bot01,Diamond 1,100 LP,38,66%,크라켄 학살자,유령 무희,최후의 속삭임
fkn degenerate,Diamond 1,100 LP,37,66%,얼음 정수의 파편,초시계,제어 와드
fkn degenerate,Diamond 1,100 LP,37,66%,얼음 정수의 파편,흐르는 물의 지팡이,제어 와드
fkn degenerate,Diamond 1,100 LP,37,66%,얼음 정수의 파편,충전형 물약,제어 와드
ARAMLOVER420,Diamond 1,75 LP,38,60%,광전사의 군화,유령 무희,크라켄 학살자
Andil 3,Diamond 1,75 LP,36,62%,광전사의 군화,유령 무희,크라켄 학살자
KR MIDKlNG,Diamond 1,75 LP,37,55%,광전사의 군화,징수의 총,크라켄 학살자
a monsterr,Diamond 1,75 LP,38,54%,도란의 검,무한의 대검,불멸의 철갑궁
ARAMLOVER420,Diamond 1,75 LP,38,60%,도란의 검,무라마나,드락사르의 황혼검
Andil 3,Diamond 1,75 LP,36,62%,도란의 검,크라켄 학살자,징수의 총
KR MIDKlNG,Diamond 1,75 LP,37,55%,단검,자객의 발톱,롱소드
a monsterr,Diamond 1,75 LP,38,54%,공허의 지팡이,존야의 모래시계,라바돈의 죽음모자
ARAMLOVER420,Diamond 1,75 LP,38,60%,곡괭이,돌풍,도란의 검
Andil 3,Diamond 1,75 LP,36,62%,피바라기,망가진 초시계,마법사의 신발
KR MIDKlNG,Diamond 1,75 LP,37,55%,곡궁,마법공학 로켓 벨트,공허의 지팡이
a monsterr,Diamond 1,75 LP,38,54%,망각의 구,만년서리,루덴의 폭풍
stillnumb2,Diamond 1,55 LP,33,53%,수호 천사,천 갑옷,약간 신비한 신발
stillnumb2,Diamond 1,55 LP,33,53%,쓸데없이 큰 지팡이,존야의 모래시계,메자이의 영혼약탈자
stillnumb2,Diamond 1,55 LP,33,53%,타곤 산의 방벽,터보 화공 탱크,제어 와드
tame impala fan,Diamond 1,49 LP,35,50%,도란의 검,월식,명석함의 아이오니아 장화
tame impala fan,Diamond 1,49 LP,35,50%,도란의 방패,장화,천 갑옷
tame impala fan,Diamond 1,49 LP,35,50%,도란의 방패,처형인의 대검,판금 장화
SlPSTEA1,Diamond 1,42 LP,38,66%,밤의 수확자,존야의 모래시계,역병의 보석
SlPSTEA1,Diamond 1,42 LP,38,66%,명석함의 아이오니아 장화,존야의 모래시계,밤의 수확자
SlPSTEA1,Diamond 1,42 LP,38,66%,밤의 수확자,망각의 구,공허의 지팡이
HIGHAPMAD1,Diamond 1,25 LP,38,66%,곡괭이,도미닉 경의 인사,크라켄 학살자
HIGHAPMAD1,Diamond 1,25 LP,38,66%,정수 약탈자,콜필드의 전투 망치,드락사르의 황혼검
HIGHAPMAD1,Diamond 1,25 LP,38,66%,필멸자의 운명,무한의 대검,피바라기
stillnumb1,Diamond 1,20 LP,34,48%,광전사의 군화,돌풍,단검
MyTimeToBard,Diamond 1,20 LP,38,61%,불멸의 철갑궁,충전형 물약,헤르메스의 발걸음
vacyfapm,Diamond 1,19 LP,33,53%,망각의 구,존야의 모래시계,루덴의 폭풍
stillnumb1,Diamond 1,20 LP,34,48%,얼음 정수의 파편,강철의 솔라리 펜던트,제어 와드
MyTimeToBard,Diamond 1,20 LP,38,61%,얼음 정수의 파편,강철의 솔라리 펜던트,제어 와드
vacyfapm,Diamond 1,19 LP,33,53%,얼음 정수의 파편,강철의 솔라리 펜던트,제어 와드
stillnumb1,Diamond 1,20 LP,34,48%,도란의 방패,망자의 갑옷,헤르메스의 발걸음
MyTimeToBard,Diamond 1,20 LP,38,61%,군단의 방패,대자연의 힘,망자의 갑옷
vacyfapm,Diamond 1,19 LP,33,53%,세릴다의 원한,수호 천사,무라마나
luka5,Diamond 1,0 LP,36,48%,도란의 검,돌풍,무한의 대검
luka5,Diamond 1,0 LP,36,48%,사라진 양피지,충전형 물약,명석함의 아이오니아 장화
luka5,Diamond 1,0 LP,36,48%,리안드리의 고뇌,충전형 물약,명석함의 아이오니아 장화
ReformedPlayer77,Diamond 2,95 LP,36,68%,스테락의 도전,몰락한 왕의 검,판금 장화
ReformedPlayer77,Diamond 2,95 LP,36,68%,불멸의 철갑궁,충전형 물약,헤르메스의 발걸음
ReformedPlayer77,Diamond 2,95 LP,36,68%,불멸의 철갑궁,롱소드,도란의 검
RNGUzi7,Diamond 2,75 LP,36,67%,무한의 대검,돌풍,광전사의 군화
RNGUzi7,Diamond 2,75 LP,36,67%,무한의 대검,돌풍,여신의 눈물
RNGUzi7,Diamond 2,75 LP,36,67%,쓸데없이 큰 지팡이,리안드리의 고뇌,크라켄 학살자
